code,pref,name,mui,junmui,muiPop
1100,北海道,札幌市,,,
1202,北海道,函館市,,,
1203,北海道,小樽市,,,
1204,北海道,旭川市,,,
1205,北海道,室蘭市,,,
1206,北海道,釧路市,,,
1207,北海道,帯広市,,,
1208,北海道,北見市,,,
1209,北海道,夕張市,,,
1210,北海道,岩見沢市,,,
1211,北海道,網走市,,,
1212,北海道,留萌市,,,
1213,北海道,苫小牧市,,,
1214,北海道,稚内市,,,
1215,北海道,美唄市,,,
1216,北海道,芦別市,,,
1217,北海道,江別市,,,
1218,北海道,赤平市,,,
1219,北海道,紋別市,,,
1220,北海道,士別市,,,
1221,北海道,名寄市,,,
1222,北海道,三笠市,,,
1223,北海道,根室市,,,
1224,北海道,千歳市,,,
1225,北海道,滝川市,,,
1226,北海道,砂川市,,,
1227,北海道,歌志内市,,,
1228,北海道,深川市,,,
1229,北海道,富良野市,,,
1230,北海道,登別市,,,
1231,北海道,恵庭市,,,
1233,北海道,伊達市,,,
1234,北海道,北広島市,,,
1235,北海道,石狩市,,,
1236,北海道,北斗市,,,
1303,北海道,当別町（石狩振興局）,,,
1304,北海道,新篠津村（石狩振興局）,,,
1331,北海道,松前町（渡島総合振興局）,,,
1332,北海道,福島町（渡島総合振興局）,,,
1333,北海道,知内町（渡島総合振興局）,,,
1334,北海道,木古内町（渡島総合振興局）,,,
1337,北海道,七飯町（渡島総合振興局）,,,
1343,北海道,鹿部町（渡島総合振興局）,,,
1345,北海道,森町（渡島総合振興局）,,,
1346,北海道,八雲町（渡島総合振興局）,,,
1347,北海道,長万部町（渡島総合振興局）,,,
1361,北海道,江差町（檜山振興局）,,,
1362,北海道,上ノ国町（檜山振興局）,,,
1363,北海道,厚沢部町（檜山振興局）,,,
1364,北海道,乙部町（檜山振興局）,,,
1367,北海道,奥尻町（檜山振興局）,,,
1370,北海道,今金町（檜山振興局）,,,
1371,北海道,せたな町（檜山振興局）,,,
1391,北海道,島牧村（後志総合振興局）,,,
1392,北海道,寿都町（後志総合振興局）,,,
1393,北海道,黒松内町（後志総合振興局）,,,
1394,北海道,蘭越町（後志総合振興局）,,,
1395,北海道,ニセコ町（後志総合振興局）,,,
1396,北海道,真狩村（後志総合振興局）,,,
1397,北海道,留寿都村（後志総合振興局）,,,
1398,北海道,喜茂別町（後志総合振興局）,,,
1399,北海道,京極町（後志総合振興局）,,,
1400,北海道,倶知安町（後志総合振興局）,,,
1401,北海道,共和町（後志総合振興局）,,,
1402,北海道,岩内町（後志総合振興局）,,,
1403,北海道,泊村（後志総合振興局）,,,
1404,北海道,神恵内村（後志総合振興局）,,,
1405,北海道,積丹町（後志総合振興局）,,,
1406,北海道,古平町（後志総合振興局）,,,
1407,北海道,仁木町（後志総合振興局）,,,
1408,北海道,余市町（後志総合振興局）,,,
1409,北海道,赤井川村（後志総合振興局）,,,
1423,北海道,南幌町（空知総合振興局）,,,
1424,北海道,奈井江町（空知総合振興局）,,,
1425,北海道,上砂川町（空知総合振興局）,,,
1427,北海道,由仁町（空知総合振興局）,,,
1428,北海道,長沼町（空知総合振興局）,,,
1429,北海道,栗山町（空知総合振興局）,,,
1430,北海道,月形町（空知総合振興局）,,,
1431,北海道,浦臼町（空知総合振興局）,,,
1432,北海道,新十津川町（空知総合振興局）,,,
1433,北海道,妹背牛町（空知総合振興局）,,,
1434,北海道,秩父別町（空知総合振興局）,,,
1436,北海道,雨竜町（空知総合振興局）,,,
1437,北海道,北竜町（空知総合振興局）,,,
1438,北海道,沼田町（空知総合振興局）,,,
1452,北海道,鷹栖町（上川総合振興局）,,,
1453,北海道,東神楽町（上川総合振興局）,,,
1454,北海道,当麻町（上川総合振興局）,,,
1455,北海道,比布町（上川総合振興局）,,,
1456,北海道,愛別町（上川総合振興局）,,,
1457,北海道,上川町（上川総合振興局）,,,
1458,北海道,東川町（上川総合振興局）,,,
1459,北海道,美瑛町（上川総合振興局）,,,
1460,北海道,上富良野町（上川総合振興局）,,,
1461,北海道,中富良野町（上川総合振興局）,,,
1462,北海道,南富良野町（上川総合振興局）,,,
1463,北海道,占冠村（上川総合振興局）,,,
1464,北海道,和寒町（上川総合振興局）,,,
1465,北海道,剣淵町（上川総合振興局）,,,
1468,北海道,下川町（上川総合振興局）,,,
1469,北海道,美深町（上川総合振興局）,,,
1470,北海道,音威子府村（上川総合振興局）,,,
1471,北海道,中川町（上川総合振興局）,,,
1472,北海道,幌加内町（上川総合振興局）,,,
1481,北海道,増毛町（留萌振興局）,,,
1482,北海道,小平町（留萌振興局）,,,
1483,北海道,苫前町（留萌振興局）,,,
1484,北海道,羽幌町（留萌振興局）,,,
1485,北海道,初山別村（留萌振興局）,,,
1486,北海道,遠別町（留萌振興局）,,,
1487,北海道,天塩町（留萌振興局）,,,
1511,北海道,猿払村（宗谷総合振興局）,,,
1512,北海道,浜頓別町（宗谷総合振興局）,,,
1513,北海道,中頓別町（宗谷総合振興局）,,,
1514,北海道,枝幸町（宗谷総合振興局）,,,
1516,北海道,豊富町（宗谷総合振興局）,,,
1517,北海道,礼文町（宗谷総合振興局）,,,
1518,北海道,利尻町（宗谷総合振興局）,,,
1519,北海道,利尻富士町（宗谷総合振興局）,,,
1520,北海道,幌延町（宗谷総合振興局）,,,
1543,北海道,美幌町（オホーツク総合振興局）,,,
1544,北海道,津別町（オホーツク総合振興局）,,,
1545,北海道,斜里町（オホーツク総合振興局）,,,
1546,北海道,清里町（オホーツク総合振興局）,,,
1547,北海道,小清水町（オホーツク総合振興局）,,,
1549,北海道,訓子府町（オホーツク総合振興局）,,,
1550,北海道,置戸町（オホーツク総合振興局）,,,
1552,北海道,佐呂間町（オホーツク総合振興局）,,,
1555,北海道,遠軽町（オホーツク総合振興局）,,,
1559,北海道,湧別町（オホーツク総合振興局）,,,
1560,北海道,滝上町（オホーツク総合振興局）,,,
1561,北海道,興部町（オホーツク総合振興局）,,,
1562,北海道,西興部村（オホーツク総合振興局）,,,
1563,北海道,雄武町（オホーツク総合振興局）,,,
1564,北海道,大空町（オホーツク総合振興局）,,,
